DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2008,273941.6,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2009,282394.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2010,326980.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2011,351367.9,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2012,368770.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2013,384870.3,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2014,398947.9,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2015,423444.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2016,443143.6,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2017,476136.2,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2018,509830.4,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2019,514052.1,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2020,484602,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2021,592625,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2022,708983,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2023,686398,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
ADB:DF_NA(1.0),A,NGDP_XDC,SIN,2024,765497.5,SGD,6,1,,A,Calendar Year,,Singapore Department of Statistics,
