country,country_name,indicator,indicator_name,year,frequency,value,unit,price_basis,base_year,status,source_status,source_indicator,source,source_url,source_file,raw_row,footnote,data_source,reference_year,methodology
IDN,Indonesia,current_account_pct,Current account balance,2005,A,0.096217231,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,2,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2006,A,2.940155432,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,3,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2007,A,2.393410861,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,4,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2008,A,0.024358744,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,5,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2009,A,1.952510674,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,6,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2010,A,0.679980929,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,7,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2011,A,0.188610911,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,8,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2012,A,-2.659581268,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,9,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2013,A,-3.190590139,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,10,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2014,A,-3.088885226,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,11,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2015,A,-2.033144224,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,12,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2016,A,-1.818386332,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,13,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2017,A,-1.595056091,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,14,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2018,A,-2.943280185,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,15,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2019,A,-2.705647993,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,16,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2020,A,-0.417850415,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,17,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2021,A,0.295899026,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,18,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2022,A,1.001692526,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,19,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2023,A,-0.148905707,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,20,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2024,A,-0.614488836,percent_gdp,current,,observed,A,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,21,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,current_account_pct,Current account balance,2025,A,-0.100540893,percent_gdp,current,,provisional,P,BCA_BP6_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_GLOB_BOP/A.BCA_BP6_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_GLOB_BOP.csv,22,,Bank Indonesia,Calendar Year,Balance of Payment Manual 6th Edition
IDN,Indonesia,exports_pct,Exports of goods and services,2005,A,34.06727,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,212,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,exports_pct,Exports of goods and services,2006,A,31.03472,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,213,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,exports_pct,Exports of goods and services,2007,A,29.43572,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,214,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
