country,country_name,year,real_gdp_pc,manufacturing_pct,exports_pct,imports_pct,current_account_pct,reserves_months,trade_openness,gdp_pc_growth,gdp_pc_index_2006,cumulative_recovery_pct,real_gdp_pc_status,manufacturing_pct_status,exports_pct_status,imports_pct_status,current_account_pct_status,reserves_months_status
IDN,Indonesia,2005,7963608.24555,27.40750748,34.06727,29.92067,0.096217231,4.10478485518,63.98794,,96.0339672157,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2006,8292491.16374,27.5375740802,31.03472,25.62241,2.940155432,4.91547534687,56.65713,4.04682319383,100,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2007,8705503.85123,27.0484127488,29.43572,25.39353,2.393410861,5.67712529732,54.82925,4.86050259495,104.980562286,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2008,9112664.22286,27.8142729698,29.80828,28.75312,0.024358744,4.00096264532,58.5614,4.57096666702,109.890550896,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2009,9417191.98079,26.3554673279,24.15913,21.35301,1.952510674,6.5468457569,45.51214,3.28718340538,113.562882309,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2010,28884425.1778,22.0386285924,24.29903094,22.40224294,0.679980929,6.86991432991,46.70127388,,,,unknown,unknown,unknown,unknown,observed,unknown
IDN,Indonesia,2011,30115352.7801,21.7608545038,26.32735309,23.85266009,0.188610911,6.05969044941,50.18001318,4.17325721932,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2012,31484474.292,21.4509550554,24.59437879,24.98851951,-2.659581268,5.58937942738,49.5828983,4.44594438483,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2013,32780966.4972,21.0286886817,23.92357638,24.7137963,-3.190590139,4.9503184677,48.63737268,4.03535125314,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2014,33965353.61,21.0751760506,23.66598459,24.41419099,-3.088885226,5.74432339947,48.08017558,3.54929363633,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2015,35161893.5441,20.985787431,21.16017926,20.77746098,-2.033144224,6.44616105766,41.93764024,3.46219328318,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2016,36468616.3777,20.5229746805,19.08899385,18.33234795,-1.818386332,7.2258880561,37.4213418,3.64891390261,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2017,37851365.2059,20.1600223614,20.17730444,19.17819264,-1.595056091,7.08716242011,39.35549708,3.7214982622,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2018,39340565.9975,19.8631933836,21.0027465,22.07156246,-2.943280185,5.59560758848,43.07430896,3.85891521052,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2019,40843688.2868,19.7035390876,18.59152779,19.03624974,-2.705647993,6.3177743442,37.62777753,3.74960996782,,,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2020,39685415.6181,19.8664218856,17.33116829,15.64100712,-0.417850415,8.4069748464,32.97217541,-2.87685444505,,-2.83586697796,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2021,40780747.9963,19.2433202959,21.41655564,18.78820264,0.295899026,6.78517585393,40.20475828,2.72263517986,,-0.154100408388,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2022,42471445.7509,18.336177108,24.50291169,20.96175851,1.001692526,5.2132207747,45.4646702,4.06218782303,,3.98533416638,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2023,44139292.324,18.6674487917,21.80856324,19.6519133,-0.148905707,5.72806559441,41.46047654,3.85183827249,,8.0688208521,observed,observed,observed,observed,observed,unknown
IDN,Indonesia,2024,45881953.2975,18.9840040044,22.30964878,20.50028911,-0.614488836,5.72012468838,42.80993789,3.87214972393,,12.3354800266,provisional,provisional,provisional,provisional,observed,unknown
IDN,Indonesia,2025,47744982.945,19.0651099809,22.8465483,20.54465877,-0.100540893,5.51085431823,43.39120707,3.98021267853,,16.8968448926,provisional,provisional,provisional,provisional,provisional,unknown
MYS,Malaysia,2005,20870.3614828,27.5496800827,112.89898,90.95548,14.41684,5.94300135814,203.85446,,96.5445763013,,unknown,observed,observed,observed,observed,unknown
MYS,Malaysia,2006,21617.331892,27.5660875627,112.18548,90.39167,16.091,6.20407077455,202.57715,3.51653537172,100,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2007,22546.9724744,26.122583942,106.16858,86.29753,15.35912,6.70420376771,192.46611,4.21054032458,104.300440901,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2008,23199.9158432,24.5607176579,99.49958,77.16875,17.06783,5.58926321545,176.66833,2.85478526273,107.320903242,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2009,22430.6037783,23.8001450501,91.41679,71.14218,15.53284,7.24461462096,162.55897,-3.37223847126,103.76212888,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2010,28732.9215142,23.4337755681,86.93,71.01,10.08187,6.34115209858,157.94,,,,unknown,observed,observed,observed,observed,unknown
MYS,Malaysia,2011,29742.778542,23.3202044897,85.255442,69.68,10.89395,6.9155954387,154.935442,3.4542807995,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2012,30851.209177,23.138176292,79.299914,68.54,5.16624,6.96382782005,147.839914,3.65895805063,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2013,31581.4534849,22.8407424206,75.62904,67.09195,3.48369,6.66725243911,142.72099,2.33940883097,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2014,32966.4457939,22.8739302431,73.7935,64.51873,4.38826,5.6700220201,138.31223,4.29202168007,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2015,37752.3612283,22.2933324025,69.44869,61.92138,2.98696,5.50777041075,131.37007,,,,unknown,observed,observed,observed,observed,unknown
MYS,Malaysia,2016,38874.1227718,21.7969397965,66.77545,60.12356,2.39316,5.64270997828,126.89901,2.92807820564,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2017,40626.4333902,21.8461950799,70.01174,63.14343,2.79061,5.5076074113,133.15517,4.40901185891,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2018,42097.0124214,21.5281381982,68.55497,61.84765,2.23069,4.91023691554,130.40262,3.55578508292,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2019,43815.2546848,21.4089748963,65.27777,57.7508,3.49816,5.26575125944,123.02857,4.00052629136,,,observed,observed,observed,observed,observed,unknown
MYS,Malaysia,2020,41490.1991531,22.2320858424,61.578,55.21,4.165770216,6.26880997379,116.788,-5.45248028612,,-5.30649781314,observed,observed,observed,observed,observed,unknown
