DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2005,0.096217231,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2006,2.940155432,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2007,2.393410861,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2008,0.024358744,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2009,1.952510674,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2010,0.679980929,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2011,0.188610911,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2012,-2.659581268,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2013,-3.190590139,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2014,-3.088885226,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2015,-2.033144224,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2016,-1.818386332,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2017,-1.595056091,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2018,-2.943280185,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2019,-2.705647993,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2020,-0.417850415,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2021,0.295899026,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2022,1.001692526,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2023,-0.148905707,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2024,-0.614488836,PCT,0,1,,A,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,INO,2025,-0.100540893,PCT,0,1,,P,Calendar Year,,Bank Indonesia,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2005,14.41684,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2006,16.091,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2007,15.35912,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2008,17.06783,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2009,15.53284,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2010,10.08187,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2011,10.89395,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2012,5.16624,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2013,3.48369,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2014,4.38826,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2015,2.98696,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2016,2.39316,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2017,2.79061,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2018,2.23069,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2019,3.49816,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2020,4.165770216,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2021,3.885706978,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2022,3.188087509,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2023,1.099122887,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2024,1.434369097,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,MAL,2025,1.573318265,PCT,0,1,"Prior to 2005, follows the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, follows the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from ringgit to United States dollars using average period exchange rates from the IMF.",A,Calendar Year,,Department of Statistics,
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2005,23.3,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2006,26.9,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2007,27.1,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2008,15.1,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2009,16.4,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2010,22.9,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2011,22.2,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2012,17.6,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2013,15.7,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2014,18.0,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2015,18.7,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
ADB:DF_GLOB_BOP(1.0),A,BCA_BP6_XGDP_PS,SIN,2016,18.0,PCT,0,1,,A,Calendar Year,,Singapore Department of Statistics,Balance of Payment Manual 6th Edition
