DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2005,2774.2811,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2006,3339.2168,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2007,3950.8932,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2008,4948.6884,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2009,5606.203,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2010,6864.1331,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",B,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2011,7831.726,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2012,8615.7045,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2013,9546.134,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDP_XDC,INO,2014,10569.7053,IDR,12,0,"1) For 2010 onward, data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010.|2) 2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
