DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2005,219.852,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2006,222.7469,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2007,225.642,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2008,228.5233,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2009,231.3695,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2010,237.641326,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2011,241.9907,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2012,245.4252,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2013,248.8181,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2014,252.1648,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2015,255.4617,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2016,258.705,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2017,261.8909,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2018,265.0153,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
ADB:DF_PPSI(1.0),A,LP_PE_NUM_MOP,INO,2019,268.0746,PERSONS,6,1,"2010, 2020: Projections based on census or survey figures, except for 2000, 2010, and 2020 which are the actual figures from population census.",A,Ending 30 June,,BPS Statistics Indonesia,
