column,unit,formula_or_definition,source,missing_rule
country,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
country_name,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
year,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
frequency,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
nominal_gdp_lcu,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
nominal_gdp_lcu_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_lcu,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_lcu_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
manufacturing_lcu,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
manufacturing_lcu_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
exports_pct,percent / percentage points,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
exports_pct_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
imports_pct,percent / percentage points,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
imports_pct_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
population,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
population_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
current_account_pct,percent / percentage points,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
current_account_pct_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
reserves_months,months of imports,Source field or status; see normalized source lineage,World Bank WDI FI.RES.TOTL.MO,Blank CSV = missing; no imputation; unknown status is not observed
reserves_months_status,metadata,Source field or status; see normalized source lineage,World Bank WDI FI.RES.TOTL.MO,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_pc,constant local currency per person; NOT cross-country comparable levels,real_gdp_lcu / population; within-country levels only,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_pc_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
manufacturing_pct,percent / percentage points,100 * manufacturing_lcu / nominal_gdp_lcu,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
manufacturing_pct_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_pc_unit,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
real_gdp_base_year,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
trade_openness,percent / percentage points,exports_pct + imports_pct,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
trade_balance,percent / percentage points,exports_pct - imports_pct,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
trade_openness_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
trade_balance_status,metadata,Source field or status; see normalized source lineage,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
crisis,see formula,"1 if year in {2008,2009,2020}; else 0",ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
gdp_pc_growth,percent / percentage points,100 * ln(real_gdp_pc[t] / real_gdp_pc[t-1]); same nonempty base year,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
gdp_pc_index_2006,see formula,100 * real_gdp_pc[t] / real_gdp_pc[2006]; same nonempty base year,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
cumulative_recovery_pct,percent / percentage points,100 * (real_gdp_pc[t] / real_gdp_pc[2019] - 1); t>=2020; same nonempty base year,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
manufacturing_lag1,see formula,manufacturing_pct at exact t-1,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
openness_lag1,percent / percentage points,trade_openness at exact t-1,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
growth_status,percent / percentage points,Conservative combined status of t and t-1 real GDP per capita,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
model_eligible,see formula,Observed current/lag GDP and lag manufacturing/openness; complete values,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
pre_covid_growth_avg,percent / percentage points,"Mean growth 2017,2018,2019; all 3 observed required",ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
growth_2020,percent / percentage points,Observed GDP per capita log growth in 2020,ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
shock_2020_pp,percent / percentage points,growth_2020 - pre_covid_growth_avg (percentage points),ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
post_covid_growth_avg,percent / percentage points,"Mean growth 2021,2022,2023; all 3 observed required",ADB / derived; see normalized_observations.csv,Blank CSV = missing; no imputation; unknown status is not observed
