country,year,indicator,available,status
IDN,2005,manufacturing_pct,True,observed
IDN,2005,exports_pct,True,observed
IDN,2005,imports_pct,True,observed
IDN,2005,current_account_pct,True,observed
IDN,2005,reserves_months,True,unknown
IDN,2006,manufacturing_pct,True,observed
IDN,2006,exports_pct,True,observed
IDN,2006,imports_pct,True,observed
IDN,2006,current_account_pct,True,observed
IDN,2006,reserves_months,True,unknown
IDN,2007,manufacturing_pct,True,observed
IDN,2007,exports_pct,True,observed
IDN,2007,imports_pct,True,observed
IDN,2007,current_account_pct,True,observed
IDN,2007,reserves_months,True,unknown
IDN,2008,manufacturing_pct,True,observed
IDN,2008,exports_pct,True,observed
IDN,2008,imports_pct,True,observed
IDN,2008,current_account_pct,True,observed
IDN,2008,reserves_months,True,unknown
IDN,2009,manufacturing_pct,True,observed
IDN,2009,exports_pct,True,observed
IDN,2009,imports_pct,True,observed
IDN,2009,current_account_pct,True,observed
IDN,2009,reserves_months,True,unknown
IDN,2010,manufacturing_pct,True,unknown
IDN,2010,exports_pct,True,unknown
IDN,2010,imports_pct,True,unknown
IDN,2010,current_account_pct,True,observed
IDN,2010,reserves_months,True,unknown
IDN,2011,manufacturing_pct,True,observed
IDN,2011,exports_pct,True,observed
IDN,2011,imports_pct,True,observed
IDN,2011,current_account_pct,True,observed
IDN,2011,reserves_months,True,unknown
IDN,2012,manufacturing_pct,True,observed
IDN,2012,exports_pct,True,observed
IDN,2012,imports_pct,True,observed
IDN,2012,current_account_pct,True,observed
IDN,2012,reserves_months,True,unknown
IDN,2013,manufacturing_pct,True,observed
IDN,2013,exports_pct,True,observed
IDN,2013,imports_pct,True,observed
IDN,2013,current_account_pct,True,observed
IDN,2013,reserves_months,True,unknown
IDN,2014,manufacturing_pct,True,observed
IDN,2014,exports_pct,True,observed
IDN,2014,imports_pct,True,observed
IDN,2014,current_account_pct,True,observed
IDN,2014,reserves_months,True,unknown
IDN,2015,manufacturing_pct,True,observed
IDN,2015,exports_pct,True,observed
IDN,2015,imports_pct,True,observed
IDN,2015,current_account_pct,True,observed
IDN,2015,reserves_months,True,unknown
IDN,2016,manufacturing_pct,True,observed
IDN,2016,exports_pct,True,observed
IDN,2016,imports_pct,True,observed
IDN,2016,current_account_pct,True,observed
IDN,2016,reserves_months,True,unknown
IDN,2017,manufacturing_pct,True,observed
IDN,2017,exports_pct,True,observed
IDN,2017,imports_pct,True,observed
IDN,2017,current_account_pct,True,observed
IDN,2017,reserves_months,True,unknown
IDN,2018,manufacturing_pct,True,observed
IDN,2018,exports_pct,True,observed
IDN,2018,imports_pct,True,observed
IDN,2018,current_account_pct,True,observed
IDN,2018,reserves_months,True,unknown
IDN,2019,manufacturing_pct,True,observed
IDN,2019,exports_pct,True,observed
IDN,2019,imports_pct,True,observed
IDN,2019,current_account_pct,True,observed
IDN,2019,reserves_months,True,unknown
IDN,2020,manufacturing_pct,True,observed
IDN,2020,exports_pct,True,observed
IDN,2020,imports_pct,True,observed
IDN,2020,current_account_pct,True,observed
IDN,2020,reserves_months,True,unknown
IDN,2021,manufacturing_pct,True,observed
IDN,2021,exports_pct,True,observed
IDN,2021,imports_pct,True,observed
IDN,2021,current_account_pct,True,observed
IDN,2021,reserves_months,True,unknown
IDN,2022,manufacturing_pct,True,observed
IDN,2022,exports_pct,True,observed
IDN,2022,imports_pct,True,observed
IDN,2022,current_account_pct,True,observed
IDN,2022,reserves_months,True,unknown
IDN,2023,manufacturing_pct,True,observed
IDN,2023,exports_pct,True,observed
IDN,2023,imports_pct,True,observed
IDN,2023,current_account_pct,True,observed
IDN,2023,reserves_months,True,unknown
IDN,2024,manufacturing_pct,True,provisional
IDN,2024,exports_pct,True,provisional
IDN,2024,imports_pct,True,provisional
IDN,2024,current_account_pct,True,observed
IDN,2024,reserves_months,True,unknown
IDN,2025,manufacturing_pct,True,provisional
IDN,2025,exports_pct,True,provisional
IDN,2025,imports_pct,True,provisional
IDN,2025,current_account_pct,True,provisional
IDN,2025,reserves_months,True,unknown
MYS,2005,manufacturing_pct,True,observed
MYS,2005,exports_pct,True,observed
MYS,2005,imports_pct,True,observed
MYS,2005,current_account_pct,True,observed
MYS,2005,reserves_months,True,unknown
MYS,2006,manufacturing_pct,True,observed
MYS,2006,exports_pct,True,observed
MYS,2006,imports_pct,True,observed
MYS,2006,current_account_pct,True,observed
MYS,2006,reserves_months,True,unknown
MYS,2007,manufacturing_pct,True,observed
MYS,2007,exports_pct,True,observed
MYS,2007,imports_pct,True,observed
MYS,2007,current_account_pct,True,observed
MYS,2007,reserves_months,True,unknown
MYS,2008,manufacturing_pct,True,observed
MYS,2008,exports_pct,True,observed
MYS,2008,imports_pct,True,observed
MYS,2008,current_account_pct,True,observed
MYS,2008,reserves_months,True,unknown
MYS,2009,manufacturing_pct,True,observed
MYS,2009,exports_pct,True,observed
MYS,2009,imports_pct,True,observed
MYS,2009,current_account_pct,True,observed
MYS,2009,reserves_months,True,unknown
MYS,2010,manufacturing_pct,True,observed
MYS,2010,exports_pct,True,observed
MYS,2010,imports_pct,True,observed
MYS,2010,current_account_pct,True,observed
MYS,2010,reserves_months,True,unknown
MYS,2011,manufacturing_pct,True,observed
MYS,2011,exports_pct,True,observed
MYS,2011,imports_pct,True,observed
MYS,2011,current_account_pct,True,observed
MYS,2011,reserves_months,True,unknown
MYS,2012,manufacturing_pct,True,observed
MYS,2012,exports_pct,True,observed
MYS,2012,imports_pct,True,observed
MYS,2012,current_account_pct,True,observed
MYS,2012,reserves_months,True,unknown
MYS,2013,manufacturing_pct,True,observed
MYS,2013,exports_pct,True,observed
MYS,2013,imports_pct,True,observed
MYS,2013,current_account_pct,True,observed
MYS,2013,reserves_months,True,unknown
MYS,2014,manufacturing_pct,True,observed
MYS,2014,exports_pct,True,observed
MYS,2014,imports_pct,True,observed
MYS,2014,current_account_pct,True,observed
MYS,2014,reserves_months,True,unknown
MYS,2015,manufacturing_pct,True,observed
MYS,2015,exports_pct,True,observed
MYS,2015,imports_pct,True,observed
MYS,2015,current_account_pct,True,observed
MYS,2015,reserves_months,True,unknown
MYS,2016,manufacturing_pct,True,observed
MYS,2016,exports_pct,True,observed
MYS,2016,imports_pct,True,observed
MYS,2016,current_account_pct,True,observed
MYS,2016,reserves_months,True,unknown
MYS,2017,manufacturing_pct,True,observed
MYS,2017,exports_pct,True,observed
MYS,2017,imports_pct,True,observed
MYS,2017,current_account_pct,True,observed
MYS,2017,reserves_months,True,unknown
MYS,2018,manufacturing_pct,True,observed
MYS,2018,exports_pct,True,observed
MYS,2018,imports_pct,True,observed
MYS,2018,current_account_pct,True,observed
MYS,2018,reserves_months,True,unknown
MYS,2019,manufacturing_pct,True,observed
MYS,2019,exports_pct,True,observed
MYS,2019,imports_pct,True,observed
MYS,2019,current_account_pct,True,observed
MYS,2019,reserves_months,True,unknown
MYS,2020,manufacturing_pct,True,observed
MYS,2020,exports_pct,True,observed
MYS,2020,imports_pct,True,observed
MYS,2020,current_account_pct,True,observed
MYS,2020,reserves_months,True,unknown
MYS,2021,manufacturing_pct,True,observed
MYS,2021,exports_pct,True,observed
MYS,2021,imports_pct,True,observed
MYS,2021,current_account_pct,True,observed
MYS,2021,reserves_months,True,unknown
MYS,2022,manufacturing_pct,True,observed
MYS,2022,exports_pct,True,observed
MYS,2022,imports_pct,True,observed
MYS,2022,current_account_pct,True,observed
MYS,2022,reserves_months,True,unknown
MYS,2023,manufacturing_pct,True,observed
MYS,2023,exports_pct,True,observed
MYS,2023,imports_pct,True,observed
MYS,2023,current_account_pct,True,observed
MYS,2023,reserves_months,True,unknown
MYS,2024,manufacturing_pct,True,observed
MYS,2024,exports_pct,True,observed
MYS,2024,imports_pct,True,observed
MYS,2024,current_account_pct,True,observed
MYS,2024,reserves_months,True,unknown
MYS,2025,manufacturing_pct,True,observed
MYS,2025,exports_pct,True,observed
MYS,2025,imports_pct,True,observed
MYS,2025,current_account_pct,True,observed
MYS,2025,reserves_months,False,missing
SGP,2005,manufacturing_pct,True,observed
SGP,2005,exports_pct,True,observed
SGP,2005,imports_pct,True,observed
SGP,2005,current_account_pct,True,observed
SGP,2005,reserves_months,True,unknown
SGP,2006,manufacturing_pct,True,observed
SGP,2006,exports_pct,True,observed
SGP,2006,imports_pct,True,observed
SGP,2006,current_account_pct,True,observed
SGP,2006,reserves_months,True,unknown
SGP,2007,manufacturing_pct,True,observed
SGP,2007,exports_pct,True,observed
SGP,2007,imports_pct,True,observed
SGP,2007,current_account_pct,True,observed
SGP,2007,reserves_months,True,unknown
SGP,2008,manufacturing_pct,True,observed
SGP,2008,exports_pct,True,observed
SGP,2008,imports_pct,True,observed
SGP,2008,current_account_pct,True,observed
SGP,2008,reserves_months,True,unknown
SGP,2009,manufacturing_pct,True,observed
SGP,2009,exports_pct,True,observed
SGP,2009,imports_pct,True,observed
SGP,2009,current_account_pct,True,observed
SGP,2009,reserves_months,True,unknown
SGP,2010,manufacturing_pct,True,observed
SGP,2010,exports_pct,True,observed
SGP,2010,imports_pct,True,observed
SGP,2010,current_account_pct,True,observed
SGP,2010,reserves_months,True,unknown
SGP,2011,manufacturing_pct,True,observed
SGP,2011,exports_pct,True,observed
SGP,2011,imports_pct,True,observed
SGP,2011,current_account_pct,True,observed
SGP,2011,reserves_months,True,unknown
SGP,2012,manufacturing_pct,True,observed
SGP,2012,exports_pct,True,observed
SGP,2012,imports_pct,True,observed
SGP,2012,current_account_pct,True,observed
SGP,2012,reserves_months,True,unknown
SGP,2013,manufacturing_pct,True,observed
SGP,2013,exports_pct,True,observed
SGP,2013,imports_pct,True,observed
SGP,2013,current_account_pct,True,observed
SGP,2013,reserves_months,True,unknown
SGP,2014,manufacturing_pct,True,observed
SGP,2014,exports_pct,True,observed
SGP,2014,imports_pct,True,observed
SGP,2014,current_account_pct,True,observed
SGP,2014,reserves_months,True,unknown
SGP,2015,manufacturing_pct,True,observed
SGP,2015,exports_pct,True,observed
SGP,2015,imports_pct,True,observed
SGP,2015,current_account_pct,True,observed
SGP,2015,reserves_months,True,unknown
SGP,2016,manufacturing_pct,True,observed
SGP,2016,exports_pct,True,observed
SGP,2016,imports_pct,True,observed
SGP,2016,current_account_pct,True,observed
SGP,2016,reserves_months,True,unknown
SGP,2017,manufacturing_pct,True,observed
SGP,2017,exports_pct,True,observed
SGP,2017,imports_pct,True,observed
SGP,2017,current_account_pct,True,observed
SGP,2017,reserves_months,True,unknown
SGP,2018,manufacturing_pct,True,observed
SGP,2018,exports_pct,True,observed
SGP,2018,imports_pct,True,observed
SGP,2018,current_account_pct,True,observed
